192.168.10.160;52.114.75.78;56625;443;1;0x00000303;49196,49195,49200,49199,49188,49187,49192,49191,49162,49161,49172,49171,157,156,61,60,53,47,10;0,5,10,11,13,35,23,65281;self.events.data.microsoft.com;0x0000001d,0x00000017,0x00000018;0
52.114.75.78;192.168.10.160;443;56625;2,11,22,12,14;0x00000303;49200;5,23,65281;;;
192.168.10.160;13.32.110.178;56627;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;static.twitchcdn.net;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;199.232.138.167;56628;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;gql.twitch.tv;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;54.148.232.156;56626;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;video-edge-34fe7f.pdx01.abs.hls.ttvnw.net;0x0000001d,0x00000017,0x00000018;0
13.32.110.178;192.168.10.160;443;56627;2;0x00000303;49199;0,11,65281,5,35;;;0
199.232.138.167;192.168.10.160;443;56628;2;0x00000303;49199;65281,0,11,35,5,16,23;;;0,1,2
192.168.10.160;99.86.241.127;56629;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api2.branch.io;0x0000001d,0x00000017,0x00000018;0
99.86.241.127;192.168.10.160;443;56629;2;0x00000303;49199;0,11,65281,16,5,35;;;0
54.148.232.156;192.168.10.160;443;56626;2;0x00000303;49199;65281,11,35,16;;;0,1,2
192.168.10.160;99.86.241.83;56630;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;cdn.branch.io;0x0000001d,0x00000017,0x00000018;0
99.86.241.83;192.168.10.160;443;56630;2;0x00000303;49199;0,11,65281,5,35;;;0
192.168.10.160;52.97.201.194;56637;443;1;0x00000303;49196,49195,49200,49199,49188,49187,49192,49191,49162,49161,49172,49171,157,156,61,60,53,47,10;0,5,10,11,13,35,16,23,65281;outlook.office365.com;0x0000001d,0x00000017,0x00000018;0
52.97.201.194;192.168.10.160;443;56637;2;0x00000303;49200;23,65281;;;
192.168.10.160;216.58.201.67;56641;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.gstatic.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.67;192.168.10.160;443;56641;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;52.88.162.226;56645;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;passport.twitch.tv;0x0000001d,0x00000017,0x00000018;0
52.88.162.226;192.168.10.160;443;56645;2;0x00000303;49199;65281,11,35,16;;;0,1,2
192.168.10.160;142.250.185.142;56646;443;1;0x00000303;49196,49195,49200,49199,159,158,49188,49187,49192,49191,49162,49161,49172,49171,157,156,61,60,53,47,10;0,5,10,11,13,35,23,65281;dl.google.com;0x0000001d,0x00000017,0x00000018;0
142.250.185.142;192.168.10.160;443;56646;2;0x00000303;49195;23,65281,11,35;;;0
192.168.10.160;142.250.185.142;56647;443;1;0x00000303;49196,49195,49200,49199,159,158,49188,49187,49192,49191,49162,49161,49172,49171,157,156,61,60,53,47,10;0,5,10,11,13,35,23,65281;dl.google.com;0x0000001d,0x00000017,0x00000018;0
142.250.185.142;192.168.10.160;443;56647;2;0x00000303;49195;23,65281,11,35;;;0
192.168.10.160;104.18.25.64;56658;443;1;0x00000303;14906,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,65281,0,23,35,13,5,18,16,11,10,39578;client-api.arkoselabs.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
104.18.25.64;192.168.10.160;443;56658;2;0x00000303;49195;0,23,65281,11,35,16;;;0
192.168.10.160;104.18.25.64;56659;443;1;0x00000303;47802,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,65281,0,23,35,13,5,18,16,11,10,64250;client-api.arkoselabs.com;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
104.18.25.64;192.168.10.160;443;56659;2;0x00000303;49195;0,23,65281,11,35,16;;;0
192.168.10.160;172.217.23.238;56660;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;app-measurement.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.238;192.168.10.160;443;56660;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;104.16.125.175;56669;443;1;0x00000303;60138,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;35466,65281,0,23,35,13,5,18,16,30032,11,10,27,64250;unpkg.com;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;104.16.125.175;56670;443;1;0x00000303;60138,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,65281,0,23,35,13,5,18,16,30032,11,10,27,10794;unpkg.com;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;104.16.125.175;56672;443;1;0x00000303;27242,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,65281,0,23,35,13,5,18,16,30032,11,10,27,2570;unpkg.com;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;104.16.125.175;56671;443;1;0x00000303;39578,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,65281,0,23,35,13,5,18,16,30032,11,10,27,64250;unpkg.com;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;142.250.185.170;56664;443;1;0x00000303;19018,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,65281,0,23,35,13,5,18,16,30032,11,10,27,2570;maps.googleapis.com;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;142.250.185.170;56665;443;1;0x00000303;47802,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,65281,0,23,35,13,5,18,16,30032,11,10,27,60138;maps.googleapis.com;0x0000caca,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.18.106;56666;443;1;0x00000303;27242,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,65281,0,23,35,13,5,18,16,30032,11,10,27,43690;fonts.googleapis.com;0x00001a1a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.18.106;56667;443;1;0x00000303;6682,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;6682,65281,0,23,35,13,5,18,16,30032,11,10,27,10794;fonts.googleapis.com;0x0000dada,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.18.106;56668;443;1;0x00000303;35466,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;23130,65281,0,23,35,13,5,18,16,30032,11,10,27,47802;fonts.googleapis.com;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
104.16.125.175;192.168.10.160;443;56670;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
104.16.125.175;192.168.10.160;443;56669;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
104.16.125.175;192.168.10.160;443;56672;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
104.16.125.175;192.168.10.160;443;56671;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
142.250.185.170;192.168.10.160;443;56665;2;0x00000303;49195;23,65281,11,35,16,30032;;;0
142.250.185.170;192.168.10.160;443;56664;2;0x00000303;49195;23,65281,11,35,16,30032;;;0
172.217.18.106;192.168.10.160;443;56666;2;0x00000303;49195;23,65281,11,35,16,30032;;;0
172.217.18.106;192.168.10.160;443;56667;2;0x00000303;49195;23,65281,11,35,16,30032;;;0
172.217.18.106;192.168.10.160;443;56668;2;0x00000303;49195;23,65281,11,35,16,30032;;;0
